268425,1,201,0,0,5,00,00,00,00,62
268435,1,203,0,0,8,00,00,00,00,00,00,00,00
268445,0,300,0,0,8,03,5A,64,5A,32,00,32,70
268445,0,301,0,0,3,E2,00,00
268445,1,401,0,0,8,0D,9F,00,00,46,00,00,00
268455,1,206,0,0,8,00,00,00,00,00,00,00,00
268465,1,400,0,0,8,01,00,0C,00,00,00,00,00
268495,0,300,0,0,8,03,5A,64,5A,32,00,32,71
268495,0,301,0,0,3,B3,01,00
268525,1,201,0,0,5,00,00,EC,04,62
268525,1,403,0,0,8,64,00,00,00,40,E3,09,00
268535,1,203,0,0,8,00,00,00,00,00,00,00,00
268545,0,300,0,0,8,03,5A,64,5A,32,00,32,72
268545,0,301,0,0,3,6B,02,00
268545,1,204,0,0,8,00,00,00,00,00,00,00,00
268545,1,401,0,0,8,09,9F,00,00,46,00,00,00
268555,1,206,0,0,8,00,00,00,00,00,00,00,00
268555,1,202,0,0,8,E2,12,00,00,D6,7C,05,00
268565,1,400,0,0,8,01,00,0C,00,00,00,00,00
268595,0,300,0,0,8,03,5A,64,5A,32,00,32,73
268595,0,301,0,0,3,96,03,00
268625,1,201,0,0,5,00,00,38,04,62
268635,1,203,0,0,8,B4,00,D0,1A,03,00,00,00
268645,0,300,0,0,8,03,5A,64,5A,32,00,32,34
268645,0,301,0,0,3,03,04,00
268645,1,401,0,0,8,09,9F,00,00,70,00,00,00
268655,1,206,0,0,8,00,00,00,00,00,00,00,00
268665,1,400,0,0,8,01,00,0C,00,00,00,00,00
268695,0,300,0,0,8,03,5A,64,5A,32,00,32,35
268695,0,301,0,0,3,54,05,00
268725,1,201,0,0,5,00,00,EE,02,62
268735,1,203,0,0,8,EA,00,B4,9D,02,00,00,00
268745,0,300,0,0,8,03,5A,64,5A,32,00,32,36
268745,0,301,0,0,3,F5,06,00
268745,1,401,0,0,8,09,9F,00,00,70,00,00,00
268755,1,206,0,0,8,00,00,00,00,00,00,00,00
268765,1,400,0,0,8,01,00,0C,00,00,00,00,00
268795,0,300,0,0,8,03,5A,64,5A,32,00,32,37
268795,0,301,0,0,3,B8,07,00
268825,1,201,0,0,5,00,00,AA,00,62
268835,1,203,0,0,8,6C,01,38,FA,00,00,00,00
268845,0,300,0,0,8,03,5A,64,5A,32,00,32,F8
268845,0,301,0,0,3,80,08,00
268845,1,401,0,0,8,DE,9D,00,00,70,00,00,00
268855,1,206,0,0,8,00,00,00,00,00,00,00,00
268865,1,400,0,0,8,01,00,0C,00,00,00,00,00
268895,0,300,0,0,8,03,5A,64,5A,32,00,32,F9
268895,0,301,0,0,3,88,09,00
268925,1,201,0,0,5,00,00,46,00,62
268935,1,203,0,0,8,AF,01,34,78,00,00,00,00
268945,0,300,0,0,8,03,5A,64,5A,32,00,32,FA
268945,0,301,0,0,3,C6,0A,00
268945,1,401,0,0,8,DE,9D,00,00,77,05,00,00
268955,1,206,0,0,8,00,00,00,00,00,00,00,00
268965,1,400,0,0,8,01,00,2C,00,00,00,00,00
268995,0,300,0,0,8,03,5A,64,5A,32,00,32,FB
268995,0,301,0,0,3,43,0B,00
269025,1,201,0,0,5,00,00,5A,00,62
269025,1,402,0,0,8,58,00,00,00,2C,A4,08,00
269035,1,203,0,0,8,0C,02,C0,75,00,00,00,00
269045,0,300,0,0,8,03,5A,64,5A,32,00,32,BC
269045,0,301,0,0,3,B5,0C,00
269045,1,401,0,0,8,A8,9E,00,00,77,05,00,00
269055,1,206,0,0,8,00,00,00,00,00,00,00,00
269065,1,400,0,0,8,01,00,2C,00,00,00,00,00
269095,0,300,0,0,8,03,5A,64,5A,32,00,32,BD
269095,0,301,0,0,3,4E,0D,00
269125,1,201,0,0,5,00,00,00,00,62
269135,1,203,0,0,8,42,02,00,00,00,00,00,00
269145,0,300,0,0,8,03,5A,64,5A,32,00,32,BE
269145,0,301,0,0,3,1D,0E,00
269145,1,401,0,0,8,A8,9E,00,00,74,07,00,00
269155,1,206,0,0,8,00,00,00,00,00,00,00,00
269165,1,400,0,0,8,01,00,2C,00,00,00,00,00
269195,0,300,0,0,8,03,5A,64,5A,32,00,32,BF
269195,0,301,0,0,3,E8,0F,00
269225,1,201,0,0,5,00,00,E0,01,62
269235,1,203,0,0,8,DD,02,E0,BF,05,00,00,00
269245,0,300,0,0,8,03,5A,64,5A,32,00,32,70
269245,0,301,0,0,3,E2,00,00
269245,1,401,0,0,8,A8,9E,00,00,74,07,00,00
269255,1,206,0,0,8,00,00,00,00,00,00,00,00
269265,1,400,0,0,8,01,00,2C,00,00,00,00,00
269295,0,300,0,0,8,03,5A,64,5A,32,00,32,71
269295,0,301,0,0,3,B3,01,00
269325,1,201,0,0,5,00,00,62,02,62
269335,1,203,0,0,8,28,03,E0,F9,06,00,00,00
269345,0,300,0,0,8,03,5A,64,5A,32,00,32,72
269345,0,301,0,0,3,6B,02,00
269345,1,401,0,0,8,79,9E,00,00,74,07,00,00
269355,1,206,0,0,8,00,00,00,00,00,00,00,00
269365,1,400,0,0,8,01,00,2C,00,00,00,00,00
269395,0,300,0,0,8,03,5A,64,5A,32,00,32,73
269395,0,301,0,0,3,96,03,00
269425,1,201,0,0,5,00,00,6C,02,62
269435,1,203,0,0,8,B0,03,68,E9,08,00,00,00
269445,0,300,0,0,8,03,5A,64,5A,32,00,32,34
269445,0,301,0,0,3,03,04,00
269445,1,401,0,0,8,79,9E,00,00,DA,03,00,00
269455,1,206,0,0,8,00,00,00,00,00,00,00,00
269465,1,400,0,0,8,01,00,2C,00,00,00,00,00
269495,0,300,0,0,8,03,5A,64,5A,32,00,32,35
269495,0,301,0,0,3,54,05,00
269525,1,201,0,0,5,00,00,30,02,62
269525,1,403,0,0,8,64,00,00,00,40,E3,09,00
269535,1,203,0,0,8,2B,04,14,49,09,00,00,00
269545,0,300,0,0,8,03,5A,64,5A,32,00,32,36
269545,0,301,0,0,3,F5,06,00
269545,1,204,0,0,8,00,00,00,00,00,00,00,00
269545,1,401,0,0,8,C5,9D,00,00,DA,03,00,00
269555,1,206,0,0,8,00,00,00,00,00,00,00,00
269555,1,202,0,0,8,E2,12,00,00,D6,7C,05,00
269565,1,400,0,0,8,01,00,2C,00,00,00,00,00
269565,1,666,0,0,8,52,08,05,00,52,95,36,02
269585,1,665,0,0,8,00,00,00,53,4C,18,53,00
269595,0,300,0,0,8,03,5A,64,5A,32,00,32,37
269595,0,301,0,0,3,B8,07,00
269595,1,200,0,0,8,58,00,2C,A4,08,00,02,00
269625,1,201,0,0,5,00,00,CC,01,62
