4.084135,,300,,,8,03,5A,64,5A,46,00,46,21
4.084599,,301,,,3,B3,01,00,,,,,
4.134143,,300,,,8,03,5A,64,5A,46,00,46,12
4.134607,,301,,,3,6B,02,00,,,,,
4.184147,,300,,,8,03,5A,64,5A,46,00,46,03
4.184623,,301,,,3,96,03,00,,,,,
4.234151,,300,,,8,03,5A,64,5A,46,00,46,34
4.234615,,301,,,3,03,04,00,,,,,
4.284935,,300,,,8,03,5A,64,5A,46,00,46,25
4.285399,,301,,,3,54,05,00,,,,,
4.334164,,300,,,8,03,5A,64,5A,46,00,46,16
4.334628,,301,,,3,F5,06,00,,,,,
4.384168,,300,,,8,03,5A,64,5A,46,00,46,07
4.384636,,301,,,3,B8,07,00,,,,,
4.434174,,300,,,8,03,5A,64,5A,46,00,46,B8
4.434642,,301,,,3,80,08,00,,,,,
4.48418,,300,,,8,03,5A,64,5A,46,00,46,A9
4.484648,,301,,,3,88,09,00,,,,,
4.534185,,300,,,8,03,5A,64,5A,46,00,46,9A
4.534653,,301,,,3,C6,0A,00,,,,,
4.584188,,300,,,8,03,5A,64,5A,46,00,46,8B
4.584656,,301,,,3,43,0B,00,,,,,
4.634195,,300,,,8,03,5A,64,5A,46,00,46,BC
4.634663,,301,,,3,B5,0C,00,,,,,
4.6842,,300,,,8,03,5A,64,5A,46,00,46,AD
4.684664,,301,,,3,4E,0D,00,,,,,
4.734207,,300,,,8,03,5A,64,5A,46,00,46,9E
4.734675,,301,,,3,1D,0E,00,,,,,
4.78421,,300,,,8,03,5A,64,5A,46,00,46,8F
4.784678,,301,,,3,E8,0F,00,,,,,
4.834217,,300,,,8,03,5A,64,5A,46,00,46,30
4.834689,,301,,,3,E2,00,00,,,,,
4.884221,,300,,,8,03,5A,64,5A,46,00,46,21
4.884685,,301,,,3,B3,01,00,,,,,
4.934225,,300,,,8,03,5A,64,5A,46,00,46,12
4.934689,,301,,,3,6B,02,00,,,,,
4.984232,,300,,,8,03,5A,64,5A,46,00,46,03
4.984709,,301,,,3,96,03,00,,,,,
5.034237,,300,,,8,03,5A,64,5A,46,00,46,34
5.034701,,301,,,3,03,04,00,,,,,
5.084242,,300,,,8,03,5A,64,5A,46,00,46,25
5.084706,,301,,,3,54,05,00,,,,,
5.134246,,300,,,8,03,5A,64,5A,46,00,46,16
5.13471,,301,,,3,F5,06,00,,,,,
5.184251,,300,,,8,03,5A,64,5A,46,00,46,07
5.184719,,301,,,3,B8,07,00,,,,,
5.234257,,300,,,8,03,5A,64,5A,46,00,46,B8
5.234725,,301,,,3,80,08,00,,,,,
5.285164,,300,,,8,03,5A,64,5A,46,00,46,A9
5.285844,,301,,,3,88,09,00,,,,,
5.286444,,404,,,2,4A,00,,,,,,
5.309891,,404,,,2,02,30,,,,,,
5.334269,,300,,,8,03,5A,64,5A,46,00,46,9A
5.334737,,301,,,3,C6,0A,00,,,,,
5.341134,,404,,,2,44,00,,,,,,
5.372397,,404,,,2,01,00,,,,,,
5.384275,,300,,,8,03,5A,64,5A,46,00,46,8B
5.384743,,301,,,3,43,0B,00,,,,,
5.403637,,404,,,2,A3,01,,,,,,
