Timestamp,IsMotorToTCU,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
43982,1,202,0,0,8,e2,16,0,0,9,fe,1a,0
43992,0,300,0,0,8,0,5a,64,5a,0,0,a,b5
43993,0,301,0,0,3,54,5,0
44032,1,401,0,0,8,60,a0,0,0,50,0,0,0
44042,0,300,0,0,8,0,5a,64,5a,0,0,a,86
44043,0,301,0,0,3,f5,6,0
44046,1,201,0,0,6,0,0,e2,4,2,0
44052,1,400,0,0,8,1,0,4c,0,0,0,0,0
44058,1,203,0,0,8,0,0,0,0,0,0,0,0
44092,0,300,0,0,8,0,5a,64,5a,0,0,a,97
44093,0,301,0,0,3,b8,7,0
44132,1,401,0,0,8,60,a0,0,0,50,0,0,0
44142,0,300,0,0,8,0,5a,64,5a,0,0,a,68
44143,0,301,0,0,3,80,8,0
44146,1,201,0,0,6,0,0,c4,4,2,0
44152,1,400,0,0,8,1,0,4c,0,0,0,0,0
44158,1,203,0,0,8,0,0,0,0,0,0,0,0
44193,0,300,0,0,8,0,5a,64,5a,0,0,a,79
44193,0,301,0,0,3,88,9,0
44232,1,401,0,0,8,60,a0,0,0,50,0,0,0
44242,0,300,0,0,8,0,5a,64,5a,0,0,a,4a
44243,0,301,0,0,3,c6,a,0
44246,1,201,0,0,6,0,0,6a,4,2,0
44252,1,400,0,0,8,1,0,4c,0,0,0,0,0
44258,1,203,0,0,8,78,0,80,25,2,0,0,0
44292,0,300,0,0,8,0,5a,64,5a,0,0,a,5b
44293,0,301,0,0,3,43,b,0
44333,1,401,0,0,8,64,a0,0,0,50,0,0,0
44342,0,300,0,0,8,0,5a,64,5a,0,0,a,2c
44343,0,301,0,0,3,b5,c,0
44346,1,201,0,0,6,0,0,de,3,2,0
44353,1,400,0,0,8,1,0,4c,0,0,0,0,0
44358,1,203,0,0,8,e2,0,94,d8,2,0,0,0
44392,0,300,0,0,8,0,5a,64,5a,0,0,a,3d
44393,0,301,0,0,3,4e,d,0
44413,1,403,0,0,8,63,0,0,0,20,e2,9,0
44433,1,401,0,0,8,64,a0,0,0,50,0,0,0
44442,0,300,0,0,8,0,5a,64,5a,0,0,a,e
44443,0,301,0,0,3,1d,e,0
44446,1,201,0,0,6,0,0,a2,3,2,0
44453,1,400,0,0,8,1,0,4c,0,0,0,0,0
44458,1,203,0,0,8,11,1,90,90,3,0,0,0
