Timestamp,IsMotorToTCU,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
80730,1,201,0,0,6,2,3,0,0,62,0
80742,1,203,0,0,8,0,0,0,0,0,0,0,0
80748,1,401,0,0,8,97,a0,0,0,56,0,0,0
80748,0,300,0,0,8,3,5a,64,5a,64,0,64,30
80749,0,301,0,0,3,e2,0,0
80768,1,400,0,0,8,1,0,4c,0,0,0,0,0
80798,0,300,0,0,8,3,5a,64,5a,64,0,64,21
80799,0,301,0,0,3,b3,1,0
80830,1,201,0,0,6,80,2,0,0,62,0
80842,1,203,0,0,8,0,0,0,0,0,0,0,0
80848,0,300,0,0,8,3,5a,64,5a,64,0,64,32
80849,1,401,0,0,8,97,a0,0,0,56,0,0,0
80849,0,301,0,0,3,6b,2,0
80854,1,204,0,0,8,0,0,0,0,0,0,0,0
80866,1,202,0,0,8,e2,17,0,0,c,fc,1a,0
80868,1,400,0,0,8,1,0,4c,0,0,0,0,0
80878,1,666,0,0,8,52,8,1,5,52,57,12,44
80890,1,665,0,0,8,0,0,0,53,4c,18,53,0
80898,0,300,0,0,8,3,5a,64,5a,64,0,64,23
80899,0,301,0,0,3,96,3,0
80902,1,200,0,0,8,64,0,20,e2,9,0,1,0
80930,1,201,0,0,6,80,2,0,0,62,0
80942,1,203,0,0,8,0,0,0,0,0,0,0,0
80948,0,300,0,0,8,3,5a,64,5a,64,0,64,34
80948,0,301,0,0,3,3,4,0
80949,1,401,0,0,8,99,a0,0,0,55,0,0,0
80968,1,400,0,0,8,1,0,4c,0,0,0,0,0
80998,0,300,0,0,8,3,5a,64,5a,64,0,64,25
80999,0,301,0,0,3,54,5,0
81030,1,201,0,0,6,26,2,0,0,62,0
81042,1,203,0,0,8,0,0,0,0,0,0,0,0
81048,0,300,0,0,8,3,5a,64,5a,64,0,64,36
81049,1,401,0,0,8,99,a0,0,0,55,0,0,0
81050,0,301,0,0,3,f5,6,0
81069,1,400,0,0,8,1,0,4c,0,0,0,0,0
81098,0,300,0,0,8,3,5a,64,5a,64,0,64,27
81099,0,301,0,0,3,b8,7,0
81130,1,201,0,0,6,8,2,0,0,62,0
81142,1,203,0,0,8,0,0,0,0,0,0,0,0
81148,0,300,0,0,8,3,5a,64,5a,64,0,64,b8
81149,1,401,0,0,8,99,a0,0,0,55,0,0,0
81149,0,301,0,0,3,80,8,0
81169,1,400,0,0,8,1,0,4c,0,0,0,0,0
81198,0,300,0,0,8,3,5a,64,5a,64,0,64,a9
81199,0,301,0,0,3,88,9,0
81229,1,403,0,0,8,63,0,0,0,20,e2,9,0
81230,1,201,0,0,6,8,2,0,0,62,0
81242,1,203,0,0,8,0,0,0,0,0,0,0,0
81248,0,300,0,0,8,3,5a,64,5a,64,0,64,ba
81249,1,401,0,0,8,99,a0,0,0,56,0,0,0
81249,0,301,0,0,3,c6,a,0
81269,1,400,0,0,8,1,0,4c,0,0,0,0,0
81298,0,300,0,0,8,3,5a,64,5a,64,0,64,ab
81299,0,301,0,0,3,43,b,0
81330,1,201,0,0,6,8,2,0,0,62,0
81342,1,203,0,0,8,0,0,0,0,0,0,0,0
81348,0,300,0,0,8,3,5a,64,5a,64,0,64,bc
81349,1,401,0,0,8,99,a0,0,0,56,0,0,0
81349,0,301,0,0,3,b5,c,0
81369,1,400,0,0,8,1,0,4c,0,0,0,0,0
81398,0,300,0,0,8,3,5a,64,5a,64,0,64,ad
81399,0,301,0,0,3,4e,d,0
81430,1,201,0,0,6,8,2,0,0,62,0
81442,1,203,0,0,8,0,0,0,0,0,0,0,0
81448,0,300,0,0,8,3,5a,64,5a,64,0,64,be
81449,0,301,0,0,3,1d,e,0
81449,1,401,0,0,8,97,a0,0,0,56,0,0,0
81469,1,400,0,0,8,1,0,4c,0,0,0,0,0
81498,0,300,0,0,8,3,5a,64,5a,64,0,64,af
81499,0,301,0,0,3,e8,f,0
81530,1,201,0,0,6,8,2,0,0,62,0
81542,1,203,0,0,8,0,0,0,0,0,0,0,0
81548,0,300,0,0,8,3,5a,64,5a,64,0,64,30
81549,0,301,0,0,3,e2,0,0
81549,1,401,0,0,8,97,a0,0,0,56,0,0,0
81569,1,400,0,0,8,1,0,4c,0,0,0,0,0
81598,0,300,0,0,8,3,5a,64,5a,64,0,64,21
81599,0,301,0,0,3,b3,1,0
81630,1,201,0,0,6,8,2,0,0,62,0
81642,1,203,0,0,8,0,0,0,0,0,0,0,0
81648,0,300,0,0,8,3,5a,64,5a,64,0,64,32
81649,0,301,0,0,3,6b,2,0
81649,1,401,0,0,8,97,a0,0,0,56,0,0,0
81669,1,400,0,0,8,1,0,4c,0,0,0,0,0
81698,0,300,0,0,8,3,5a,64,5a,64,0,64,23
81699,0,301,0,0,3,96,3,0
81729,1,402,0,0,8,64,0,0,0,20,e2,9,0
81730,1,201,0,0,6,f6,4,0,0,62,0
81742,1,203,0,0,8,0,0,0,0,0,0,0,0
81748,0,300,0,0,8,3,5a,64,5a,64,0,64,34
81749,0,301,0,0,3,3,4,0
81749,1,401,0,0,8,97,a0,0,0,56,0,0,0
81769,1,400,0,0,8,1,0,4c,0,0,0,0,0
81798,0,300,0,0,8,3,5a,64,5a,64,0,64,25
81799,0,301,0,0,3,54,5,0
81830,1,201,0,0,6,f6,4,0,0,62,0
81842,1,203,0,0,8,0,0,0,0,0,0,0,0
81848,0,300,0,0,8,3,5a,64,5a,64,0,64,36
81849,0,301,0,0,3,f5,6,0
81849,1,401,0,0,8,97,a0,0,0,56,0,0,0
81854,1,204,0,0,8,0,0,0,0,0,0,0,0
81866,1,202,0,0,8,e2,15,0,0,10,fc,1a,0
81869,1,400,0,0,8,1,0,4c,0,0,0,0,0
81898,0,300,0,0,8,3,5a,64,5a,64,0,64,27
81899,0,301,0,0,3,b8,7,0
81930,1,201,0,0,6,f6,4,0,0,62,0
81942,1,203,0,0,8,0,0,0,0,0,0,0,0
81949,0,300,0,0,8,3,5a,64,5a,64,0,64,b8
81949,0,301,0,0,3,80,8,0
81950,1,401,0,0,8,97,a0,0,0,55,0,0,0
81970,1,400,0,0,8,1,0,4c,0,0,0,0,0
81998,0,300,0,0,8,3,5a,64,5a,64,0,64,a9
81999,0,301,0,0,3,88,9,0
82030,1,201,0,0,6,f6,4,0,0,62,0
82042,1,203,0,0,8,0,0,0,0,0,0,0,0
82048,0,300,0,0,8,3,5a,64,5a,64,0,64,ba
82049,0,301,0,0,3,c6,a,0
82050,1,401,0,0,8,97,a0,0,0,55,0,0,0
82070,1,400,0,0,8,1,0,4c,0,0,0,0,0
82098,0,300,0,0,8,3,5a,64,5a,64,0,64,ab
82099,0,301,0,0,3,43,b,0
82130,1,201,0,0,6,f6,4,0,0,62,0
82142,1,203,0,0,8,0,0,0,0,0,0,0,0
82148,0,300,0,0,8,3,5a,64,5a,64,0,64,bc
82149,0,301,0,0,3,b5,c,0
82150,1,401,0,0,8,97,a0,0,0,55,0,0,0
82170,1,400,0,0,8,1,0,4c,0,0,0,0,0
82199,0,300,0,0,8,3,5a,64,5a,64,0,64,ad
82199,0,301,0,0,3,4e,d,0
82230,1,201,0,0,6,f6,4,0,0,62,0
82230,1,403,0,0,8,63,0,0,0,20,e2,9,0
82242,1,203,0,0,8,0,0,0,0,0,0,0,0
82248,0,300,0,0,8,3,5a,64,5a,64,0,64,be
82249,0,301,0,0,3,1d,e,0
82250,1,401,0,0,8,97,a0,0,0,55,0,0,0
82270,1,400,0,0,8,1,0,4c,0,0,0,0,0
82298,0,300,0,0,8,3,5a,64,5a,64,0,64,af
82299,0,301,0,0,3,e8,f,0
82330,1,201,0,0,6,f6,4,0,0,62,0
82342,1,203,0,0,8,0,0,0,0,0,0,0,0
82348,0,300,0,0,8,3,5a,64,5a,64,0,64,30
82349,0,301,0,0,3,e2,0,0
82350,1,401,0,0,8,97,a0,0,0,55,0,0,0
82370,1,400,0,0,8,1,0,4c,0,0,0,0,0
82398,0,300,0,0,8,3,5a,64,5a,64,0,64,21
82399,0,301,0,0,3,b3,1,0
82430,1,201,0,0,6,f6,4,0,0,62,0
82442,1,203,0,0,8,0,0,0,0,0,0,0,0
82448,0,300,0,0,8,3,5a,64,5a,64,0,64,32
82449,0,301,0,0,3,6b,2,0
82450,1,401,0,0,8,97,a0,0,0,55,0,0,0
82470,1,400,0,0,8,1,0,4c,0,0,0,0,0
82498,0,300,0,0,8,3,5a,64,5a,64,0,64,23
82499,0,301,0,0,3,96,3,0
82530,1,201,0,0,6,c0,3,0,0,62,0
82542,1,203,0,0,8,0,0,0,0,0,0,0,0
82548,0,300,0,0,8,3,5a,64,5a,64,0,64,34
82549,0,301,0,0,3,3,4,0
82550,1,401,0,0,8,97,a0,0,0,55,0,0,0
82570,1,400,0,0,8,1,0,4c,0,0,0,0,0
82598,0,300,0,0,8,3,5a,64,5a,64,0,64,25
82599,0,301,0,0,3,54,5,0
82630,1,201,0,0,6,c0,3,0,0,62,0
82642,1,203,0,0,8,0,0,0,0,0,0,0,0
